Username,Sociotype,
A Person,,"If you don't know your socionics type, please leave three question marks like this: ""???"" (without the quotation marks). Your comments won't be used in the dataset."
abburdlen,,
Ablack,,
adambrown,,"Please also leave ""???"" if you do not want to be included in the analysis."
adiaphane,,
adrie,,
ae1905,,
aeon,,
Aerorobyn,,
Airborne,LSE/SLI/LSI,
Airman,,
Aivonaima,,
aka-kitsune,,
Akcelik,,
akeaneau,,
akjohnny,,
alex,,
alexia,,
Alexis,,
AlexV,,
Alfie,,
Ali,,
Alioth,,
alklonth,,
Allie,SeNi,
Alomoes,,
Alstroemeria,,
ambivalent existence,,
Ananke,SLE,
Andreas,EII,
andris,,
Anelly,,
Angel Alliterator,,
Angel von Himmel,ILE,
AngelMaybe,,
ann2430,,
Anna1921,,
Annihilation,,
Anon,ESE,
anon50557,,
anou,,
Antennae,EII,
ApertureGrille,,
Apex,,
Apollonian,,
Apres,,
apteryx,,
AQ,,
Aquagraph,SLI,
Arcanum,,
Ari Dix,,
Arsal,,
Artemis,,
Artsu Tharaz,,
astralsilky,,
ataronchronon,,
Ath,,
Ath Is Cool,,
athenian200,,
Atlast,,
atropos,,
Austy,,
aut0,,
Avalonia,,
Avigail,,
ayoforjager,,
babybow,,
Bain,,
Bane,,
BAoxymoron,,
baydog,,
Bear,,
Becca,,
beetle,,
Beetlejuice,,
beeyouteafull,,
Begoner,,
Ben Brewin,,
bendertheoffender,,
benedict,,
Benny,,
betterthandead,,
Bg,EII,
bibliophile8,,
BigEars,,
Binky,,
Bionicgoat,EII,
Birds,,
Black Molly,,
blackapple,,
BlackCat,,
BlackholeRoad,,
blankblank,,
BLauritson,,
BlazingZulu,,
BlendieOfIndie,,
Blue,,
blue hummingbird,,
Blue Moon,,
Bluenoir,,
bluesballsbobs,,
bobbybeam,,
boblikesoup,,
borromean-ring,,
BreeZ,,
BrennanWayne,,
Brentano,,
bricktop,,
Brother Bones,,
Bruh,,
Bubba Priest,,
buckland,,
Bullets,,
bumblebee,,
BurningIce,,
BurntOrange,,
Byrning down the house!,,
Calvinist777,,
carrina,,
cassann,,
Catholic Schoolboy,,
celery seed,,
CelestialFire,,
Cerelict,,
Cerise Sauvage,,
Ch4r,,
Chacha,,
Chae,LIE,
Chakram,,
Charismatik,,
Cheesy,,
CheGuevara,,
chemical,,
cherrysidecar,,
chip,,
Chips and Underwear,LII>EII,
chips and underwear,,
Chocolate,,
Christian Bale,,
ChristiRB,,
Christy B,,
chronos,,
Chryssie,:D thx but idk,
CILi,IEE,
cjcoldmine,,
claire,,
Clarity,,
ClaudiaM,,
cldwlker,,
CloudCuckooLander,,
ClownsandEntropy,LII,
CNothing,,
Coffee HD,,
Colonel Angus,,
ConcreteButterfly,,
cone,,
Cone,,
confused84,,
confusedasianboy,,
COOL AND MANLY,,
Corwin,,
Cozzine,,
Crayon,,
crazymaisy,,
Creepy-,,
creger,,
Crunk Man,,
Cudcat,,
Cuddly McFluffles,,
CuriousSoul,,
Currere,,
DadaDodo,,
daffy,,
DaftPunk,Delta ST,
Dajjal,,
Dan,,
Danali,,
dandelion,,
dangerbird,,
Daniel Draper,,
Danielle,,
danii92,,
Dark Romantic,,
Darklord,,
Darkstar,,
DarkWhite,,
dattebayo,,
davez,,
dbmmama,,
DearestIsobel,,
Dedication,,
dee,,
Dee,,
deep rain,,
Deer Woman,,
Default,,
DeleteMePLOX,,
Demo,,
Demoniselle,,
derpface,ExI,
Destroypuppy,,
detail,,
diamond,,
diaphanous,,
Diaphanous,,
diljs,,
Dino Saur,,
Dioklecian,,
Dioklecian2,,
Dionysis,,
Dionysius,,
Dionysus,,
discourse,,
Divided,,
DividedsGhost,,
DivingStar,,
DJB28,,
Dmitri Lytov,,
doesntmatter,,
DollPart,,
domino,,
Dorian,,
dr. michael,,
dragoned,,
Dragonfly,,
drake,,
drd252,,
DrDevin,,
dreamer,,
dreikin,,
Drew,,
Drommel,,
dudeins,,
Dudette88,,
Dusan Korolija,,
Dutchman,,
echan,,
echidna1000,ILE,
edanius,,
eddikens,,
Eidos,,
Eldanen,,
electric sheep,,
Elena,,
Elf,,
eliphalet,,
Elizabeth,,
EllaC,,
elle,,
Ellis,,
ElliseLinette,,
elro,,
Elro,,
Elysia,,
Ember,,
EMCastle,,
emeye,,
Emmym,,
energystar,,
ENFPaaron,,
ENFperator,,
Enigmatic IEE,,
ENJoymENT,,
Enoch,,
Enterprising Tim,,
entj,,
ENTJ8w7sxso,,
Ephemeral,,
EpicKalypze,,
Erk,,
Erlaad,,
Errant,,
eSDe,,
esq,,
Estel,,
ESTP,,
Eureka,,
Eva Frost,,
excess,,
Existential Potato,,
Extravaganza,,
Extrovert,,
Eye of the Potato,,
Fabelie,,
fairgeek,,
