,username,translated sociotype
0,7490,EIE
1,numbers,EIE
2,1981slater,ILE
3,A Grain of a Song of Sand,LII
4,Holon,LII
5,Absurd,LSE
6,Adam Strange,LIE
9,Aeroscorp,SLE
10,aestrivex,ILI
12,agape,IEI
13,HERO,IEI
14,Agarina,EII
15,willekeurig,EII
16,Agee,SLE
17,Leader,SLE
18,Ainfigur,ESI
20,aisa,???
21,Aiss,ILI
22,aivonua nainini,SEI
23,Aivo,SEI
24,aleesha,SLI
25,Aleksei,EIE
28,Amber,LSI
29,rosewood,LSI
30,AshSun,LSI
31,Amber,ESI
32,Agni,ESI
33,Sienna,ESI
35,Anglas,LIE
36,Animal,IEI
37,Baby,IEI
38,Auvi,IEI
40,anndelise,IEE
41,applejacks,IEE
42,April,???
43,Aquagraph,ILE
44,ArchonAlarion,ILE
49,Aylen,IEI
50,Azeroffs,LIE
51,Banana Pancakes,ILE
52,Bardia,ESI
57,bionic,LIE
58,blackburry,ESI
59,Blaze,ILE
60,Bluebird,EII
61,Blue bird,EII
62,Brilliand,LII
63,BulletsAndDoves,IEI
64,calenwen,ESI
65,Cat King Cole,ESE
66,Gulazon,ESE
68,chrisalys,ILI
69,Timmy,ILI
70,chriscorey,ILI
72,Cirnech,EII
73,ClownsAndEntropy,LII
74,Clumsy,IEI
75,Codie,IEI
76,Diam0nd,IEI
78,consentingadult,IEE
79,Contra,ILI
80,CPig,ILI
81,Capitalist Pig,ILI
82,cracka,ESE
83,crazedrat,IEI
84,rat1,IEI
85,Crispy,LII
86,Cyclops,SLI
87,Cyrano,SLI
88,d1ffe7,SLI
90,Darkworker,ILI
91,darya,IEI
92,DeAnte,SLI
94,Deestructor,LIE
98,Diana,LSI
100,dinki,IEI
101,Director Abbie,LSE
102,Director Kam,SEI
103,discojoe,LSI
105,DJ Arendee,SLE
106,Azure Flame,SLE
107,dolphin,SEE
111,Elina,IEI
112,Eliza Thomason,IEE
114,End,ILI
115,epheme,IEI
116,Esaman,LII
117,esper,IEI
118,eunice,EII
119,Expat,LIE
120,EyeSeeCold,ILI
121,Ezra,SLE
122,FDG,LIE
124,Feltusk(Neotropic),LII
127,Finale,LIE
128,force my hand,SLI
129,FoxOnStilts,ILE
131,GemOfTroy,IEE
132,Gem,IEE
134,glamourama,IEI
135,Golden,EIE
136,gooey,IEI
139,GuavaDrunk,EIE
140,guy123,LSI
142,HandiAce,SLI
143,HaveLucidDreamz,ILE
144,Moonraker,ILE
146,heavynurse,IEE
147,Johannes Bloem,IEE
148,Olduvai,IEE
149,Hemoglobin,LSI
150,Herzy,SLE
151,hitta,LII
152,hkkmr,ILE
153,mu4,ILE
154,hoodrat,SEE
155,Huitzilopochtli,ILI
156,TheSun,ILI
157,Hydrangea,EII
158,Birdie,EII
159,iAnnaU,SLI
161,idolatrie,LSI
163,Inguz,IEI
166,Invisible Jim,ILI
167,Iris,EIE
168,Jadae,LSE
169,Janus,ILI
170,Meyrink,ILI
171,Jarno,ILI
172,jason_m,LII
173,Jenna,IEI
174,Jeremy8419,EII
175,jessica129,SLI
176,jet city woman,LSI
177,jetson,LSI
178,jewels,IEE
179,Jimbean,LSI
182,Jonathan,ILI
184,Joy,LSI
185,JRiddy,ILE
186,jughead,IEI
187,JuJu,EIE
188,JWC3,SEE
189,jxrtes,ILE
190,xerx,ILE
191,k0rpsey,ILI
192,kadda1212,IEI
195,kassie,ESI
196,lungs,ESI
197,Kent Lorne,IEI
198,khamelion,SEE
200,Kill4Me,SLE
201,Kim,IEE
203,krae,IEI
204,Krig the Viking,LII
205,kristiina,EIE
206,labster,LII
207,lecter,LII
209,leckysupport,LSE
210,Legerdemain,LSI
211,lemontrees,SEI
212,lifer,IEI
213,liveandletlive,SEE
214,Lobo,EII
215,Logos,LII
220,MaliaFee,SLI
221,malna,EII
222,Mariano Rajoy,LII
223,Marie84,EII
224,Maritsa33,EII
226,MatthewZ,LII
227,Mattie,IEE
230,mea,ILI
232,Mechman,SLI
234,Megane,LII
236,mercutio,SLE
237,mfckr,LIE
238,Ashton,LIE
239,mikemex,IEE
241,Minde,EII
243,miss BabyDoll,LSI
